1,2,3,4,5,6,7,Target
11749.0,13941.0,11188.0,8628.0,10656.0,13687.0,10998.0,11842.57142857143
13340.0,8000.0,13019.0,12317.0,11352.0,11558.0,13312.0,11311.42857142857
13461.0,12352.0,10335.0,11237.0,10229.0,8300.0,13266.0,11338.42857142857
12718.0,12839.0,10275.0,12050.0,10389.0,9543.0,11555.0,11689.142857142857
13631.0,10300.0,12655.0,9833.0,9568.0,13570.0,12267.0,11590.42857142857
13596.0,10039.0,13723.0,9580.0,7218.0,12538.0,14439.0,11277.714285714286
12542.0,9067.0,10083.0,11834.0,12033.0,14010.0,9375.0,12008.714285714286
12578.0,14661.0,11671.0,11444.0,10037.0,13031.0,10639.0,12577.857142857143
11778.0,13853.0,12840.0,11878.0,10795.0,13836.0,13065.0,9937.57142857143
8467.0,10314.0,9629.0,10892.0,11510.0,9371.0,9380.0,12152.714285714286
12839.0,11530.0,13139.0,10981.0,10355.0,13665.0,12560.0,11364.142857142857
10181.0,11296.0,13973.0,13220.0,9592.0,9015.0,12272.0,11745.285714285714
14478.0,11026.0,11040.0,12789.0,9845.0,14779.0,8260.0,11292.42857142857
11641.0,10077.0,10332.0,12331.0,9407.0,12140.0,13119.0,11831.285714285714
12117.0,11929.0,13709.0,9844.0,12325.0,10156.0,12739.0,11352.57142857143
13200.0,13031.0,10775.0,12279.0,11416.0,9505.0,9262.0,11577.142857142857
9857.0,11973.0,8100.0,11884.0,13434.0,13355.0,12437.0,10555.57142857143
